branch_name,latitude,longitude,region
0172 - ASI - VANCOUVER IS,49.2341874,-122.8227526,Canada
0342 - DAVENPORT,41.50152278,-90.63657396,Northeast
0366 - MINNEAPOLIS,45.01945733,-93.1839253,Northeast
0566 - BGO FORT WORTH,32.98743547,-97.45381917,Gulf
0567 - BGO SCHERTZ,29.62669703,-98.25755606,Gulf
0568 - BGO OMAHA,41.10244855,-96.26005932,West
0569 - BGO OSKALOOSA,41.30276055,-92.65506156,West
0570 - BGO WICHITA,37.65633499,-97.37633885,West
0571 - BGO BISMARCK,46.8379902,-101.4087207,West
0573 - BGO WISCONSIN RAPIDS,44.40608754,-89.85076033,Northeast
1210 - ASI EDMONTON IS,53.5059955,-113.3487867,Canada
1211-ASI FORT MCMURRAY,56.7729931,-111.4179292,Canada
1220-ASI CALGARY,50.96541,-114.07574,Canada
1241 - SARNIA IS,42.95486,-82.40746,Canada
1250-ASI HALIFAX,44.71466,-63.59477,Canada
1270-ASI MONTREAL,45.6480306,-73.67954,Canada
1271 - ASI OTTAWA,45.41169,-75.62223,Canada
1517-ASI EDMONTON CC,53.5059955,-113.3487867,Canada
1518-ASI VANCOUVER CC,49.2341874,-122.8227526,Canada
1520- ASI TORONTO,43.6469725,-79.5376085,Canada
1555-ASI MONTREAL,45.6480306,-73.67954,Canada
2280-ASCC LOS ANGELES,34.14557075,-117.4334014,West
229 - ROMEOVILLE,41.64438407,-88.07790347,West
232-BSBI BATON ROUGE,30.08573072,-90.4566865,Gulf
318 Pittsburgh,40.39814485,-80.11557025,Northeast
338 - KANSAS CITY,39.08877789,-94.64506819,Northeast
343-MILWAUKEE,43.00767676,-88.03543522,Northeast
"6050-SAFWAY ATLANTIC, LLC (CARLSTADT)",40.83130954,-74.06387768,#N/A
6056-ALBANY,42.67949029,-73.7341702,Northeast
6072-LOS ANGELES,33.90493984,-118.2857729,West
6073-CHICAGO - SAFWAY ATLANTIC,41.80336762,-87.70913308,Northeast
6076-LAUREL,39.11518373,-76.83026443,Northeast
6079-SAN FRANCISCO,38.20338988,-122.1481727,West
6082-LAS VEGAS,36.10812272,-115.1959397,West
6088-SEATTLE,47.44651904,-122.2552098,West
6090-CLEVELAND,41.41722517,-81.78009105,Northeast
6091-COLUMBUS,39.9341218,-83.0123604,Northeast
6095-SAN DIEGO,32.80530785,-116.9762973,West
6105-PHILADELPHIA,39.86656671,-75.28388066,Northeast
6106-HARRISBURG,40.19291125,-76.72076878,Northeast
6110-NEW HAVEN,41.28942325,-72.87532255,Northeast
6111-BOSTON,42.14315717,-71.12552422,Northeast
6228-FONTANA - ENGEL HOLDINGS,34.09340926,-117.4832943,West
6231-UNION CITY - ENGEL HOLDINGS,37.5934504,-122.0103921,West
6232-STANWOOD - ENGEL HOLDINGS,48.24143843,-122.3201724,West
6251-Denver Commerical,39.80127656,-104.9187573,West
"6271-NES BLOOMFIELD, CT",41.82116282,-72.72364926,#N/A
6321-AS KANSAS CITY,39.08996906,-94.64281309,West
6322-AS DES MONIES,41.60945074,-93.61505412,West
6323-AS CEDAR RAPIDS M3,41.92234512,-91.67434208,West
6520-FORT MCMURRAY SUNCOR,56.7729931,-111.4179292,Canada
6521-VANCOUVER,49.2341874,-122.8227526,Canada
6546-TORONTO,43.6469725,-79.5376085,Canada
6547-IOL Sarnia,42.95486,-82.40746,Canada
6575-EDMONTON RDC,53.5059955,-113.3487867,Canada
6710-KELSO,46.11482103,-122.8918437,West
6724-PASCGOULA,30.43461473,-88.44399792,Gulf
6725-NASHVILLE,36.10118524,-86.65333886,Southeast
6726-LEXINGTON,38.06745737,-84.54099515,Southeast
6727-KNOXVILLE,35.96109669,-83.82016938,Southeast
6728-MEMPHIS,35.17740951,-90.03475298,Southeast
6733-BOISE,43.58531501,-116.2705924,West
6734-CHARLOTTE,35.26503617,-80.7659463,Southeast
6735-RALEIGH DURHAM,35.86981601,-78.71631329,Southeast
6736-CHARLESTON,32.9191382,-80.06983022,Southeast
6737-PENSACOLA,30.53426848,-87.3301827,Southeast
6738 - CINCINNATI,39.43958653,-84.51394349,Southeast
"6741-Greenville, SC",34.4286,-82.28743,#N/A
6750-HOUSTON COMMERCIAL,29.82672922,-95.33390062,Gulf
6752-ATLANTA,33.83757012,-84.50026322,Southeast
6753-WEST PALM,26.7949272,-80.09257853,Southeast
6754-JACKSONVILLE,30.29991407,-81.64347076,Southeast
6760-SAN ANTONIO,29.43875702,-98.43478937,Gulf
6761-AUSTIN,30.3798871,-97.71464225,Gulf
6762-MIAMI,25.90821724,-80.23916153,Southeast
6763-MOBILE,30.72780731,-88.12189165,Southeast
6764-DALLAS,32.79869239,-96.92416255,Gulf
6769-ORLANDO,28.4044965,-81.33901602,Southeast
6781-DENVER,39.81436002,-104.9410735,West
6782-EL PASO,31.77084395,-106.3891975,West
6783-ALBUQUERQUE,35.11469295,-106.6084482,West
6784-PHOENIX,33.41742491,-111.9664421,West
6785-NORFOLK,36.8606901,-76.21403053,Southeast
6786-RICHMOND,37.57471402,-77.47626426,Southeast
6787-UTAH,40.7190043,-111.9778591,West
6788-BILLINGS,45.80390514,-108.444547,West
6791-BOW,43.16266296,-71.50914082,Southeast
6792-NORWELL,42.15811931,-70.85746932,Southeast
6793-BLOOMFIELD,41.82116282,-72.72364926,Southeast
6795-TAMPA,27.94921229,-82.36390766,Southeast
